Hugo_Symbol,Feature_1,Feature_2,n_mutated_Feature1,n_mutated_Feature2,fdr
PAX5,PT,LNM,4 of 77,4 of 57,1
PAX5,REC,LNM,5 of 67,4 of 57,1
PAX5,REC,PT,5 of 67,4 of 77,1
PTPRC,PT,LNM,5 of 77,3 of 57,1
PTPRC,REC,LNM,4 of 67,3 of 57,1
PTPRC,REC,PT,4 of 67,5 of 77,1
AR,PT,LNM,4 of 77,4 of 57,1
AR,REC,LNM,4 of 67,4 of 57,1
AR,REC,PT,4 of 67,4 of 77,1
CTCF,PT,LNM,5 of 77,3 of 57,1
CTCF,REC,LNM,4 of 67,3 of 57,1
CTCF,REC,PT,4 of 67,5 of 77,1
PDGFRB,PT,LNM,4 of 77,2 of 57,1
BCR,PT,LNM,4 of 77,3 of 57,1
BCR,REC,LNM,4 of 67,3 of 57,1
BCR,REC,PT,4 of 67,4 of 77,1
PARP1,PT,LNM,4 of 77,4 of 57,1
PARP1,REC,LNM,3 of 67,4 of 57,1
PARP1,REC,PT,3 of 67,4 of 77,1
GNAS,PT,LNM,4 of 77,2 of 57,1
GNAS,REC,LNM,4 of 67,2 of 57,1
GNAS,REC,PT,4 of 67,4 of 77,1
BCL9,PT,LNM,4 of 77,3 of 57,1
BCL9,REC,LNM,3 of 67,3 of 57,1
BCL9,REC,PT,3 of 67,4 of 77,1
BRD2,PT,LNM,4 of 77,2 of 57,1
BRD2,REC,LNM,4 of 67,2 of 57,1
BRD2,REC,PT,4 of 67,4 of 77,1
KAT6A,PT,LNM,4 of 77,2 of 57,1
KAT6A,REC,LNM,4 of 67,2 of 57,1
KAT6A,REC,PT,4 of 67,4 of 77,1
ATP11B,PT,LNM,4 of 77,2 of 57,1
ATP11B,REC,LNM,3 of 67,2 of 57,1
ATP11B,REC,PT,3 of 67,4 of 77,1
BRD3,PT,LNM,4 of 77,2 of 57,1
BRD3,REC,LNM,3 of 67,2 of 57,1
BRD3,REC,PT,3 of 67,4 of 77,1
CHEK2,PT,LNM,3 of 77,3 of 57,1
CHEK2,REC,LNM,3 of 67,3 of 57,1
CHEK2,REC,PT,3 of 67,3 of 77,1
JAK2,PT,LNM,3 of 77,3 of 57,1
JAK2,REC,LNM,3 of 67,3 of 57,1
JAK2,REC,PT,3 of 67,3 of 77,1
KDM6A,REC,LNM,4 of 67,4 of 57,1
MTOR,PT,LNM,4 of 77,3 of 57,1
MTOR,REC,LNM,2 of 67,3 of 57,1
MTOR,REC,PT,2 of 67,4 of 77,1
RAD54L,REC,LNM,4 of 67,3 of 57,1
MAGI3,PT,LNM,3 of 77,2 of 57,1
MAGI3,REC,LNM,3 of 67,2 of 57,1
MAGI3,REC,PT,3 of 67,3 of 77,1
CDH1,REC,PT,3 of 67,4 of 77,1
DICER1,REC,PT,3 of 67,4 of 77,1
ELMO1,PT,LNM,3 of 77,3 of 57,1
ELMO1,REC,LNM,2 of 67,3 of 57,1
ELMO1,REC,PT,2 of 67,3 of 77,1
EPHB6,PT,LNM,4 of 77,2 of 57,1
EPHB6,REC,LNM,2 of 67,2 of 57,1
EPHB6,REC,PT,2 of 67,4 of 77,1
ERBB2,PT,LNM,3 of 77,2 of 57,1
ERBB2,REC,LNM,3 of 67,2 of 57,1
ERBB2,REC,PT,3 of 67,3 of 77,1
EWSR1,REC,PT,3 of 67,4 of 77,1
FANCF,PT,LNM,3 of 77,3 of 57,1
FANCF,REC,LNM,2 of 67,3 of 57,1
FANCF,REC,PT,2 of 67,3 of 77,1
INPP4B,PT,LNM,3 of 77,2 of 57,1
INPP4B,REC,LNM,3 of 67,2 of 57,1
INPP4B,REC,PT,3 of 67,3 of 77,1
MSH6,PT,LNM,4 of 77,2 of 57,1
MSH6,REC,LNM,2 of 67,2 of 57,1
MSH6,REC,PT,2 of 67,4 of 77,1
SMG1,PT,LNM,3 of 77,2 of 57,1
SMG1,REC,LNM,3 of 67,2 of 57,1
SMG1,REC,PT,3 of 67,3 of 77,1
PLCG2,PT,LNM,4 of 77,1 of 57,1
PLCG2,REC,LNM,2 of 67,1 of 57,1
PLCG2,REC,PT,2 of 67,4 of 77,1
EPHB1,REC,PT,3 of 67,3 of 77,1
ERCC1,PT,LNM,3 of 77,2 of 57,1
ERCC1,REC,LNM,2 of 67,2 of 57,1
ERCC1,REC,PT,2 of 67,3 of 77,1
GRIN2A,REC,PT,2 of 67,2 of 77,1
HNF1A,REC,PT,3 of 67,3 of 77,1
IDH1,PT,LNM,2 of 77,2 of 57,1
IDH1,REC,LNM,3 of 67,2 of 57,1
IDH1,REC,PT,3 of 67,2 of 77,1
KDM5C,PT,LNM,3 of 77,2 of 57,1
KDM5C,REC,LNM,2 of 67,2 of 57,1
KDM5C,REC,PT,2 of 67,3 of 77,1
LTK,REC,PT,3 of 67,3 of 77,1
MLH1,PT,LNM,3 of 77,2 of 57,1
MLH1,REC,LNM,2 of 67,2 of 57,1
MLH1,REC,PT,2 of 67,3 of 77,1
PTCH2,PT,LNM,2 of 77,2 of 57,1
PTCH2,REC,LNM,3 of 67,2 of 57,1
PTCH2,REC,PT,3 of 67,2 of 77,1
PTPRD,PT,LNM,3 of 77,2 of 57,1
PTPRD,REC,LNM,2 of 67,2 of 57,1
PTPRD,REC,PT,2 of 67,3 of 77,1
RAD50,PT,LNM,3 of 77,2 of 57,1
RAD50,REC,LNM,2 of 67,2 of 57,1
RAD50,REC,PT,2 of 67,3 of 77,1
SDHD,PT,LNM,3 of 77,2 of 57,1
SDHD,REC,LNM,2 of 67,2 of 57,1
SDHD,REC,PT,2 of 67,3 of 77,1
ARID2,PT,LNM,1 of 77,1 of 57,1
BAP1,REC,PT,1 of 67,2 of 77,1
ERCC2,PT,LNM,2 of 77,2 of 57,1
ERCC2,REC,LNM,2 of 67,2 of 57,1
ERCC2,REC,PT,2 of 67,2 of 77,1
FANCL,PT,LNM,2 of 77,2 of 57,1
FANCL,REC,LNM,2 of 67,2 of 57,1
FANCL,REC,PT,2 of 67,2 of 77,1
IRF4,PT,LNM,3 of 77,1 of 57,1
IRF4,REC,LNM,2 of 67,1 of 57,1
IRF4,REC,PT,2 of 67,3 of 77,1
ITK,PT,LNM,2 of 77,2 of 57,1
ITK,REC,LNM,2 of 67,2 of 57,1
ITK,REC,PT,2 of 67,2 of 77,1
JUN,PT,LNM,2 of 77,2 of 57,1
JUN,REC,LNM,2 of 67,2 of 57,1
JUN,REC,PT,2 of 67,2 of 77,1
KMT2A,PT,LNM,3 of 77,1 of 57,1
KMT2A,REC,LNM,2 of 67,1 of 57,1
KMT2A,REC,PT,2 of 67,3 of 77,1
KMT2B,REC,PT,1 of 67,2 of 77,1
MRE11A,PT,LNM,3 of 77,1 of 57,1
MRE11A,REC,LNM,2 of 67,1 of 57,1
MRE11A,REC,PT,2 of 67,3 of 77,1
PTK2,PT,LNM,3 of 77,1 of 57,1
PTK2,REC,LNM,2 of 67,1 of 57,1
PTK2,REC,PT,2 of 67,3 of 77,1
RB1CC1,REC,LNM,3 of 67,2 of 57,1
SEMA3A,REC,LNM,1 of 67,1 of 57,1
